net,length_um
net2078,278.5µm
net1391,278.34µm
_03324_,278.25µm
net1764,276.94µm
net1792,276.52µm
net1247,276.49µm
net1743,276.425µm
net923,275.95µm
net1550,275.87µm
net2058,275.8µm
net2182,275.65µm
net1987,275.64µm
net1549,275.47µm
_09100_,275.37µm
_05845_,275.05µm
net1500,274.81µm
net1360,274.46µm
net1289,274.38µm
net1986,274.29µm
net1618,274.22µm
net794,273.9µm
net1866,273.74µm
net1357,273.3µm
net773,273.22µm
net726,273.17µm
net1364,273.09µm
net1308,273.01µm
net1517,272.91µm
net1789,272.88µm
net1076,272.7µm
net1273,272.5µm
net1287,272.35µm
net749,272.29µm
net1331,271.86µm
net1375,271.73µm
net1864,271.695µm
net1378,271.55µm
_09175_,271.28µm
net1396,271.1µm
_07862_,271.08µm
net603,270.85µm
net2051,270.85µm
_03601_,270.845µm
net328,270.76µm
net826,270.72µm
net735,270.705µm
net560,270.395µm
net1128,270.34µm
net1482,270.2µm
net1969,270.19µm
_06993_,269.38µm
net1239,269.32µm
net1113,268.92µm
net1229,268.87µm
net2503,268.17µm
net408,268.16µm
net1467,268.14µm
net2371,268.04µm
net1241,268.01µm
net1318,267.58µm
_07341_,267.57µm
net828,267.085µm
net1732,267.05µm
net1292,266.8µm
_08084_,266.53µm
net2053,266.42µm
net1984,266.11µm
net1639,265.89µm
net702,265.75µm
_04010_,265.34µm
net1820,265.26µm
net1507,265.14µm
net2048,265.12µm
_09142_,264.98µm
net1868,264.68µm
net1285,264.56µm
_03247_,264.3µm
net1544,264.3µm
net2512,264.25µm
net1835,264.04µm
net2310,263.735µm
net2006,263.63µm
net1542,263.61µm
net2392,263.58µm
net1845,263.57µm
_03545_,263.52µm
clknet_6_52_0_clk,263.46µm
net1717,263.445µm
net1267,263.01µm
net1512,262.95µm
net423,262.94µm
net264,262.82µm
net1282,262.79µm
net1297,262.73µm
net1491,262.6µm
net897,262.59µm
net2029,262.58µm
_08252_,262.49µm
net1237,262.34µm
net1384,262.2µm
net1341,261.59µm
net1939,261.5µm
