net,length_um
_01721_,11.425µm
_01875_,11.425µm
_04165_,11.42µm
u_core.u_dmem.ram\[39\]\[1\],11.42µm
u_core.u_dmem.ram\[47\]\[25\],11.42µm
net3426,11.42µm
net4815,11.42µm
_05315_,11.4µm
_06782_,11.4µm
_07391_,11.4µm
_08137_,11.4µm
_08560_,11.4µm
_08759_,11.4µm
_08841_,11.4µm
net2593,11.4µm
net3378,11.4µm
net3753,11.4µm
_03893_,11.38µm
_05397_,11.38µm
_05440_,11.38µm
_05579_,11.38µm
_06763_,11.38µm
_07952_,11.38µm
_09136_,11.38µm
u_core.u_dmem.ram\[21\]\[12\],11.38µm
u_core.u_dmem.ram\[40\]\[14\],11.38µm
u_core.u_dmem.ram\[41\]\[9\],11.38µm
u_core.u_dmem.ram\[42\]\[14\],11.38µm
u_core.u_dmem.ram\[43\]\[19\],11.38µm
u_core.u_dmem.ram\[44\]\[14\],11.38µm
_01235_,11.375µm
_01773_,11.365µm
_02528_,11.365µm
_03671_,11.36µm
_03894_,11.36µm
_05903_,11.36µm
_08242_,11.36µm
_08629_,11.36µm
u_core.u_dmem.ram\[29\]\[19\],11.36µm
net4666,11.36µm
net4887,11.36µm
u_core.u_dmem.ram\[16\]\[27\],11.35µm
u_core.u_dmem.ram\[12\]\[3\],11.345µm
u_core.u_dmem.ram\[31\]\[9\],11.345µm
_04412_,11.34µm
_05921_,11.34µm
_06050_,11.34µm
_06066_,11.34µm
u_core.u_dmem.ram\[56\]\[31\],11.34µm
net2041,11.34µm
net4875,11.34µm
_00105_,11.335µm
_01493_,11.335µm
_02057_,11.335µm
u_core.u_dmem.ram\[37\]\[1\],11.33µm
_01523_,11.32µm
_05248_,11.32µm
_06412_,11.32µm
_07433_,11.32µm
u_core.u_dmem.ram\[50\]\[8\],11.32µm
_04844_,11.31µm
_00673_,11.305µm
_00928_,11.305µm
_03410_,11.3µm
_08500_,11.3µm
net4908,11.3µm
net949,11.295µm
_00542_,11.285µm
_07958_,11.28µm
u_core.u_dmem.ram\[48\]\[20\],11.28µm
net5525,11.28µm
u_core.u_dmem.ram\[60\]\[13\],11.27µm
_05139_,11.26µm
_05230_,11.26µm
_07037_,11.26µm
_07823_,11.26µm
u_core.u_dmem.ram\[4\]\[19\],11.26µm
u_core.u_dmem.ram\[3\]\[11\],11.245µm
_03670_,11.24µm
_04127_,11.24µm
_04436_,11.24µm
_04809_,11.24µm
_06381_,11.24µm
_06873_,11.24µm
_07488_,11.24µm
_07506_,11.24µm
_08371_,11.24µm
_08700_,11.24µm
u_core.u_dmem.ram\[28\]\[8\],11.24µm
u_core.u_dmem.ram\[31\]\[13\],11.24µm
net2638,11.24µm
net2791,11.24µm
net3416,11.24µm
net3418,11.24µm
net3907,11.24µm
net4610,11.24µm
net4612,11.24µm
net5204,11.24µm
net5498,11.24µm
_01768_,11.225µm
_07272_,11.225µm
u_core.u_dmem.ram\[16\]\[18\],11.22µm
u_core.u_dmem.ram\[40\]\[17\],11.215µm
_01700_,11.205µm
_04179_,11.2µm
_04563_,11.2µm
_04788_,11.2µm
_05249_,11.2µm
_05683_,11.2µm
_06055_,11.2µm
_06421_,11.2µm
_06438_,11.2µm
_06501_,11.2µm
_06806_,11.2µm
_07265_,11.2µm
_07543_,11.2µm
_07864_,11.2µm
_08020_,11.2µm
u_core.u_dmem.ram\[11\]\[8\],11.2µm
u_core.u_dmem.ram\[22\]\[5\],11.2µm
u_core.u_dmem.ram\[27\]\[31\],11.2µm
net3596,11.2µm
net3644,11.2µm
net3735,11.2µm
net4221,11.2µm
net4232,11.2µm
net4639,11.2µm
net5274,11.2µm
net5354,11.2µm
net5361,11.2µm
_04498_,11.18µm
_04833_,11.18µm
_08890_,11.18µm
u_core.u_dmem.ram\[17\]\[15\],11.18µm
u_core.u_dmem.ram\[17\]\[20\],11.18µm
u_core.u_dmem.ram\[5\]\[10\],11.18µm
_00931_,11.165µm
_01311_,11.165µm
_04749_,11.16µm
_06777_,11.16µm
_08337_,11.16µm
_08346_,11.16µm
_08487_,11.16µm
u_core.u_dmem.ram\[38\]\[27\],11.16µm
u_core.u_dmem.ram\[56\]\[21\],11.16µm
u_core.u_dmem.ram\[58\]\[16\],11.16µm
u_core.u_regfile.regs\[22\]\[22\],11.16µm
_07138_,11.145µm
_04838_,11.14µm
u_core.u_dmem.ram\[27\]\[2\],11.14µm
u_core.u_dmem.ram\[43\]\[14\],11.14µm
net2682,11.14µm
net2854,11.14µm
net2953,11.14µm
net3455,11.14µm
net4196,11.14µm
net4937,11.14µm
net5470,11.14µm
_02108_,11.135µm
_02570_,11.125µm
_04203_,11.12µm
_04594_,11.12µm
_04606_,11.12µm
_04671_,11.12µm
_07590_,11.12µm
_07717_,11.12µm
_08008_,11.12µm
_08414_,11.12µm
_08776_,11.12µm
u_core.u_dmem.ram\[1\]\[12\],11.12µm
u_core.u_dmem.ram\[44\]\[21\],11.12µm
u_core.u_dmem.ram\[46\]\[6\],11.12µm
u_core.u_dmem.ram\[57\]\[3\],11.12µm
net4294,11.12µm
_01384_,11.115µm
u_core.u_dmem.ram\[14\]\[30\],11.11µm
_04519_,11.1µm
u_core.u_dmem.ram\[52\]\[8\],11.1µm
net2652,11.1µm
net2771,11.1µm
net3300,11.1µm
net3336,11.1µm
net3441,11.1µm
net4279,11.1µm
net4464,11.1µm
net4895,11.1µm
net5178,11.1µm
net5289,11.1µm
u_core.u_dmem.ram\[7\]\[6\],11.095µm
_03780_,11.09µm
_05066_,11.08µm
_07774_,11.08µm
u_core.u_dmem.ram\[0\]\[3\],11.08µm
u_core.u_dmem.ram\[19\]\[5\],11.08µm
u_core.u_dmem.ram\[2\]\[27\],11.08µm
u_core.u_dmem.ram\[48\]\[7\],11.08µm
u_core.u_dmem.ram\[54\]\[8\],11.08µm
u_core.u_dmem.ram\[6\]\[31\],11.08µm
net1900,11.08µm
net2572,11.08µm
net3116,11.08µm
net3243,11.08µm
net3317,11.08µm
net3585,11.08µm
net4087,11.08µm
net5371,11.08µm
_00191_,11.065µm
_01904_,11.065µm
_00369_,11.06µm
_03654_,11.06µm
_04184_,11.06µm
_08272_,11.06µm
u_core.u_dmem.ram\[13\]\[1\],11.06µm
u_core.u_dmem.ram\[44\]\[26\],11.06µm
net3836,11.06µm
net4093,11.06µm
net4223,11.06µm
net4510,11.06µm
net4743,11.06µm
net5540,11.06µm
_05102_,11.04µm
_05368_,11.04µm
_07877_,11.04µm
_08591_,11.04µm
u_core.pc\[31\],11.04µm
u_core.u_dmem.ram\[34\]\[5\],11.04µm
u_core.u_dmem.ram\[36\]\[9\],11.04µm
u_core.u_dmem.ram\[38\]\[8\],11.04µm
u_core.u_dmem.ram\[46\]\[29\],11.04µm
u_core.u_dmem.ram\[47\]\[26\],11.04µm
u_core.u_dmem.ram\[59\]\[17\],11.04µm
net910,11.04µm
net2589,11.04µm
net4738,11.04µm
u_core.u_dmem.ram\[49\]\[21\],11.035µm
u_core.u_dmem.ram\[39\]\[0\],11.03µm
u_core.u_dmem.ram\[51\]\[26\],11.03µm
_00151_,11.025µm
_01368_,11.025µm
_01498_,11.025µm
_01830_,11.025µm
_02894_,11.025µm
_03044_,11.025µm
_04330_,11.02µm
_05717_,11.02µm
_05912_,11.02µm
_08351_,11.02µm
u_core.u_dmem.ram\[30\]\[21\],11.02µm
net3621,11.02µm
net4347,11.02µm
net4374,11.02µm
_00258_,11.005µm
u_core.u_dmem.ram\[13\]\[23\],11.005µm
_03962_,11µm
_04373_,11µm
_04985_,11µm
_07532_,11µm
_08353_,11µm
_08457_,11µm
u_core.u_dmem.ram\[26\]\[30\],11µm
u_core.u_dmem.ram\[61\]\[1\],11µm
u_core.u_dmem.ram\[63\]\[11\],11µm
net4808,11µm
net4920,11µm
net5312,11µm
_00684_,10.995µm
_01644_,10.995µm
_02943_,10.995µm
_00718_,10.985µm
_01239_,10.985µm
_01556_,10.985µm
_06665_,10.98µm
u_core.u_dmem.ram\[37\]\[25\],10.98µm
net2846,10.98µm
net3387,10.98µm
net4139,10.98µm
net4716,10.98µm
net4782,10.98µm
u_core.u_dmem.ram\[9\]\[3\],10.975µm
_00924_,10.965µm
_07974_,10.965µm
_04534_,10.96µm
_05805_,10.96µm
_07736_,10.96µm
_08822_,10.96µm
u_core.u_dmem.ram\[30\]\[23\],10.96µm
u_core.u_dmem.ram\[56\]\[17\],10.96µm
u_core.u_dmem.ram\[56\]\[25\],10.96µm
u_core.u_dmem.ram\[9\]\[11\],10.96µm
net4045,10.96µm
_02189_,10.955µm
u_core.u_dmem.ram\[34\]\[18\],10.95µm
_01361_,10.945µm
_02805_,10.945µm
_07181_,10.94µm
_00111_,10.92µm
_04105_,10.92µm
_07232_,10.92µm
_08306_,10.92µm
_08326_,10.92µm
_08437_,10.92µm
_08568_,10.92µm
_08654_,10.92µm
u_core.u_dmem.ram\[11\]\[1\],10.92µm
u_core.u_dmem.ram\[14\]\[27\],10.92µm
u_core.u_dmem.ram\[15\]\[14\],10.92µm
u_core.u_dmem.ram\[22\]\[23\],10.92µm
u_core.u_dmem.ram\[26\]\[16\],10.92µm
u_core.u_dmem.ram\[27\]\[11\],10.92µm
u_core.u_dmem.ram\[29\]\[10\],10.92µm
u_core.u_dmem.ram\[34\]\[9\],10.92µm
u_core.u_dmem.ram\[42\]\[6\],10.92µm
u_core.u_dmem.ram\[53\]\[23\],10.92µm
u_core.u_dmem.ram\[54\]\[9\],10.92µm
u_core.u_dmem.ram\[14\]\[6\],10.915µm
_03529_,10.9µm
_06149_,10.9µm
_07557_,10.9µm
net830,10.9µm
net1873,10.9µm
_04440_,10.88µm
_04770_,10.88µm
_07574_,10.88µm
_07930_,10.88µm
u_core.u_dmem.ram\[27\]\[24\],10.87µm
_05340_,10.86µm
_05756_,10.86µm
_07133_,10.86µm
_07152_,10.86µm
_07660_,10.86µm
u_core.u_dmem.ram\[11\]\[9\],10.86µm
u_core.u_dmem.ram\[16\]\[13\],10.86µm
u_core.u_dmem.ram\[27\]\[29\],10.86µm
u_core.u_dmem.ram\[27\]\[3\],10.86µm
u_core.u_dmem.ram\[50\]\[10\],10.86µm
u_core.u_dmem.ram\[52\]\[2\],10.86µm
u_core.u_dmem.ram\[60\]\[9\],10.86µm
net3168,10.86µm
net3199,10.86µm
net4182,10.86µm
net4523,10.86µm
net5020,10.86µm
net5293,10.86µm
_03437_,10.855µm
_04837_,10.85µm
_06856_,10.84µm
_07562_,10.84µm
_08850_,10.84µm
net4795,10.84µm
net5413,10.84µm
u_core.u_dmem.ram\[8\]\[18\],10.83µm
_00316_,10.825µm
_01890_,10.825µm
_03422_,10.82µm
_04751_,10.82µm
u_core.u_dmem.ram\[10\]\[2\],10.82µm
u_core.u_dmem.ram\[20\]\[11\],10.82µm
u_core.u_dmem.ram\[23\]\[27\],10.82µm
u_core.u_dmem.ram\[43\]\[23\],10.82µm
_05983_,10.8µm
_07296_,10.8µm
_07522_,10.8µm
_07577_,10.8µm
_08772_,10.8µm
_01993_,10.795µm
u_core.u_dmem.ram\[0\]\[11\],10.795µm
_02696_,10.785µm
_03542_,10.78µm
_04148_,10.78µm
_07894_,10.78µm
_08298_,10.78µm
_08444_,10.78µm
_08541_,10.78µm
net2622,10.78µm
net5262,10.78µm
net5505,10.78µm
_01574_,10.765µm
u_core.u_dmem.ram\[31\]\[2\],10.76µm
u_core.u_dmem.ram\[44\]\[10\],10.76µm
u_core.u_dmem.ram\[24\]\[15\],10.75µm
u_core.u_dmem.ram\[8\]\[25\],10.75µm
_01961_,10.745µm
_03708_,10.74µm
_05194_,10.74µm
_06045_,10.74µm
_06175_,10.74µm
_06969_,10.74µm
_06970_,10.74µm
_07957_,10.74µm
_08209_,10.74µm
u_core.u_dmem.ram\[19\]\[0\],10.74µm
u_core.u_dmem.ram\[42\]\[11\],10.74µm
u_core.u_dmem.ram\[42\]\[27\],10.74µm
net3178,10.74µm
net3255,10.74µm
net3263,10.74µm
net3527,10.74µm
net3711,10.74µm
net3952,10.74µm
net4058,10.74µm
net4126,10.74µm
net4252,10.74µm
net4325,10.74µm
net4489,10.74µm
net4931,10.74µm
net4960,10.74µm
net5073,10.74µm
net5226,10.74µm
_03889_,10.72µm
_08291_,10.72µm
u_core.u_dmem.ram\[55\]\[15\],10.72µm
_05617_,10.715µm
_02020_,10.705µm
_03969_,10.7µm
_04924_,10.7µm
_05567_,10.7µm
_05760_,10.7µm
_06415_,10.7µm
_06685_,10.7µm
_06687_,10.7µm
_07262_,10.7µm
_07396_,10.7µm
_07515_,10.7µm
_07619_,10.7µm
_08675_,10.7µm
u_core.u_dmem.ram\[12\]\[25\],10.7µm
u_core.u_dmem.ram\[30\]\[17\],10.7µm
u_core.u_dmem.ram\[55\]\[22\],10.7µm
u_core.u_dmem.ram\[5\]\[0\],10.7µm
u_core.u_dmem.ram\[60\]\[18\],10.7µm
_01860_,10.685µm
_03479_,10.68µm
_05556_,10.68µm
_07013_,10.68µm
u_core.u_dmem.ram\[33\]\[16\],10.68µm
u_core.u_dmem.ram\[33\]\[25\],10.68µm
u_core.u_dmem.ram\[55\]\[4\],10.68µm
net3691,10.68µm
net4255,10.68µm
net5081,10.68µm
net5135,10.68µm
_08571_,10.665µm
_04790_,10.66µm
_05352_,10.66µm
_06846_,10.66µm
_07552_,10.66µm
_08748_,10.66µm
u_core.u_dmem.ram\[27\]\[13\],10.66µm
net4339,10.66µm
_00843_,10.645µm
net3104,10.64µm
net3188,10.64µm
net3517,10.64µm
net3586,10.64µm
net3697,10.64µm
net3737,10.64µm
net3801,10.64µm
net4103,10.64µm
net4116,10.64µm
net4188,10.64µm
net4360,10.64µm
net4424,10.64µm
net4589,10.64µm
net4624,10.64µm
net5189,10.64µm
net5201,10.64µm
net5243,10.64µm
u_core.u_dmem.ram\[6\]\[3\],10.63µm
_01617_,10.625µm
_03452_,10.62µm
_03747_,10.62µm
_03805_,10.62µm
_04502_,10.62µm
_04661_,10.62µm
_04767_,10.62µm
_05319_,10.62µm
_05899_,10.62µm
_07723_,10.62µm
_08333_,10.62µm
u_core.u_dmem.ram\[10\]\[23\],10.62µm
u_core.u_dmem.ram\[16\]\[3\],10.62µm
u_core.u_dmem.ram\[23\]\[5\],10.62µm
u_core.u_dmem.ram\[23\]\[6\],10.62µm
u_core.u_dmem.ram\[38\]\[14\],10.62µm
u_core.u_dmem.ram\[38\]\[31\],10.62µm
u_core.u_dmem.ram\[3\]\[1\],10.62µm
u_core.u_dmem.ram\[40\]\[29\],10.62µm
u_core.u_dmem.ram\[49\]\[14\],10.62µm
net2629,10.62µm
net3331,10.62µm
net3944,10.62µm
net4354,10.62µm
net4492,10.62µm
net4899,10.62µm
u_core.u_dmem.ram\[57\]\[30\],10.61µm
_05987_,10.6µm
_06194_,10.6µm
_06804_,10.6µm
_07684_,10.6µm
u_core.u_dmem.ram\[56\]\[27\],10.6µm
net2746,10.6µm
net3222,10.6µm
net3893,10.6µm
net4749,10.6µm
_08065_,10.59µm
_05793_,10.585µm
_03745_,10.58µm
_05581_,10.58µm
_05789_,10.58µm
_07358_,10.58µm
_08220_,10.58µm
u_core.u_dmem.ram\[13\]\[15\],10.58µm
u_core.u_dmem.ram\[15\]\[10\],10.58µm
u_core.u_dmem.ram\[1\]\[21\],10.58µm
u_core.u_dmem.ram\[30\]\[15\],10.58µm
u_core.u_dmem.ram\[32\]\[26\],10.58µm
u_core.u_dmem.ram\[42\]\[28\],10.58µm
u_core.u_dmem.ram\[50\]\[5\],10.58µm
u_core.u_dmem.ram\[51\]\[19\],10.58µm
u_core.u_dmem.ram\[5\]\[18\],10.58µm
u_core.u_dmem.ram\[62\]\[8\],10.58µm
u_core.u_dmem.ram\[9\]\[21\],10.58µm
net2615,10.58µm
net2642,10.58µm
net4747,10.58µm
net5085,10.58µm
u_core.u_dmem.ram\[49\]\[23\],10.575µm
u_core.u_dmem.ram\[1\]\[15\],10.57µm
_00088_,10.565µm
_03366_,10.56µm
_04207_,10.56µm
_05042_,10.56µm
_05628_,10.56µm
_06840_,10.56µm
_08081_,10.56µm
u_core.u_dmem.ram\[36\]\[15\],10.56µm
u_core.u_dmem.ram\[37\]\[19\],10.56µm
u_core.u_dmem.ram\[56\]\[5\],10.56µm
net3736,10.56µm
net4323,10.56µm
_00773_,10.555µm
ui_in[6],10.55µm
_03621_,10.54µm
_04701_,10.54µm
_05177_,10.54µm
_05637_,10.54µm
_07778_,10.54µm
_08954_,10.54µm
u_core.u_dmem.ram\[39\]\[3\],10.54µm
u_core.u_dmem.ram\[42\]\[1\],10.54µm
_07741_,10.535µm
u_core.u_dmem.ram\[4\]\[23\],10.53µm
u_core.u_dmem.ram\[6\]\[12\],10.53µm
_00722_,10.525µm
_08823_,10.525µm
_05203_,10.52µm
_06502_,10.52µm
_08321_,10.52µm
_08721_,10.52µm
u_core.u_regfile.regs\[7\]\[26\],10.52µm
net2639,10.52µm
net3066,10.52µm
net3350,10.52µm
net3509,10.52µm
net3667,10.52µm
net5228,10.52µm
_02484_,10.505µm
_03389_,10.5µm
_06065_,10.5µm
_08984_,10.5µm
u_core.u_dmem.ram\[32\]\[9\],10.5µm
u_core.u_dmem.ram\[3\]\[30\],10.5µm
u_core.u_dmem.ram\[53\]\[30\],10.5µm
u_core.u_dmem.ram\[56\]\[13\],10.5µm
u_core.u_dmem.ram\[58\]\[27\],10.5µm
u_core.u_dmem.ram\[61\]\[22\],10.5µm
u_core.u_dmem.ram\[7\]\[22\],10.5µm
net3246,10.5µm
net4999,10.5µm
_01471_,10.485µm
_01474_,10.485µm
_02262_,10.485µm
_07812_,10.48µm
_08723_,10.48µm
_08030_,10.475µm
_03870_,10.46µm
_04210_,10.46µm
_04211_,10.46µm
_05828_,10.46µm
_06532_,10.46µm
_06918_,10.46µm
_07679_,10.46µm
_08179_,10.46µm
_08354_,10.46µm
u_core.u_dmem.ram\[42\]\[12\],10.46µm
u_core.u_dmem.ram\[45\]\[26\],10.46µm
u_core.u_dmem.ram\[56\]\[24\],10.46µm
u_core.u_dmem.ram\[7\]\[25\],10.46µm
net2556,10.46µm
net3099,10.46µm
u_core.u_dmem.ram\[1\]\[6\],10.45µm
u_core.u_dmem.ram\[28\]\[24\],10.45µm
_02674_,10.445µm
_04419_,10.44µm
_05944_,10.44µm
_06218_,10.44µm
_06455_,10.44µm
_08312_,10.44µm
_08317_,10.44µm
_08820_,10.44µm
u_core.u_dmem.ram\[3\]\[3\],10.44µm
u_core.u_dmem.ram\[9\]\[7\],10.44µm
net1774,10.44µm
net4034,10.44µm
net4560,10.44µm
net5140,10.44µm
_07092_,10.43µm
_02320_,10.42µm
_01342_,10.415µm
_03091_,10.415µm
u_core.u_dmem.ram\[39\]\[26\],10.415µm
_03368_,10.4µm
_03760_,10.4µm
_06265_,10.4µm
u_core.u_dmem.ram\[31\]\[11\],10.4µm
net3698,10.4µm
net4290,10.4µm
u_core.u_dmem.ram\[47\]\[27\],10.395µm
_01350_,10.385µm
_07238_,10.385µm
_03401_,10.38µm
_04080_,10.38µm
_04549_,10.38µm
_06982_,10.38µm
_07288_,10.38µm
_08338_,10.38µm
_08661_,10.38µm
u_core.u_dmem.ram\[15\]\[9\],10.38µm
_01997_,10.365µm
_02117_,10.365µm
_02665_,10.365µm
_02773_,10.365µm
_03755_,10.36µm
_05405_,10.36µm
_07035_,10.36µm
_07203_,10.36µm
u_core.u_dmem.ram\[1\]\[25\],10.36µm
u_core.u_dmem.ram\[21\]\[3\],10.36µm
u_core.u_dmem.ram\[34\]\[17\],10.36µm
u_core.u_dmem.ram\[38\]\[7\],10.36µm
u_core.u_dmem.ram\[39\]\[4\],10.36µm
u_core.u_dmem.ram\[40\]\[5\],10.36µm
u_core.u_dmem.ram\[43\]\[31\],10.36µm
u_core.u_dmem.ram\[43\]\[4\],10.36µm
u_core.u_dmem.ram\[44\]\[25\],10.36µm
uo_out[6],10.35µm
_08830_,10.345µm
_04369_,10.34µm
_05790_,10.34µm
_06271_,10.34µm
_06634_,10.34µm
_07453_,10.34µm
_07724_,10.34µm
_08320_,10.34µm
_08344_,10.34µm
_00556_,10.325µm
_00574_,10.325µm
_01252_,10.325µm
_06044_,10.325µm
_03416_,10.32µm
_03684_,10.32µm
_03811_,10.32µm
_03985_,10.32µm
_03988_,10.32µm
_04043_,10.32µm
_04234_,10.32µm
_04483_,10.32µm
_06342_,10.32µm
_06428_,10.32µm
_08714_,10.32µm
net865,10.32µm
net2894,10.32µm
net3357,10.32µm
net3660,10.32µm
net4630,10.32µm
net4814,10.32µm
net5295,10.32µm
net5303,10.32µm
net5374,10.32µm
_05099_,10.3µm
_08233_,10.3µm
u_core.u_dmem.ram\[13\]\[3\],10.3µm
u_core.u_dmem.ram\[30\]\[6\],10.3µm
u_core.u_dmem.ram\[40\]\[30\],10.29µm
_01242_,10.285µm
_03395_,10.28µm
_03472_,10.28µm
_04310_,10.28µm
_04424_,10.28µm
_05075_,10.28µm
_05533_,10.28µm
_05735_,10.28µm
_06332_,10.28µm
_06595_,10.28µm
_07104_,10.28µm
_08623_,10.28µm
u_core.u_dmem.ram\[57\]\[14\],10.28µm
u_core.u_dmem.ram\[61\]\[4\],10.28µm
net2733,10.28µm
net2798,10.28µm
net3234,10.28µm
net3601,10.28µm
net3658,10.28µm
net4158,10.28µm
net4234,10.28µm
net4683,10.28µm
net5450,10.28µm
net5539,10.28µm
u_core.u_dmem.ram\[27\]\[22\],10.275µm
_05914_,10.26µm
_07147_,10.26µm
_07292_,10.26µm
_07822_,10.26µm
_07860_,10.26µm
u_core.u_dmem.ram\[1\]\[24\],10.26µm
_03699_,10.24µm
_03846_,10.24µm
_04102_,10.24µm
_04348_,10.24µm
_04583_,10.24µm
_04799_,10.24µm
_05946_,10.24µm
_06694_,10.24µm
_07247_,10.24µm
_07386_,10.24µm
_07569_,10.24µm
_08436_,10.24µm
u_core.u_dmem.ram\[14\]\[15\],10.24µm
u_core.u_dmem.ram\[3\]\[24\],10.24µm
u_core.u_regfile.regs\[6\]\[19\],10.24µm
_00634_,10.225µm
_01517_,10.225µm
u_core.u_dmem.ram\[17\]\[17\],10.22µm
u_core.u_dmem.ram\[32\]\[21\],10.22µm
net3435,10.22µm
net4717,10.22µm
net5024,10.22µm
net5121,10.22µm
_03761_,10.2µm
_03952_,10.2µm
_04252_,10.2µm
_04427_,10.2µm
_04845_,10.2µm
_05857_,10.2µm
_06026_,10.2µm
_06647_,10.2µm
u_core.u_dmem.ram\[23\]\[24\],10.2µm
u_core.u_dmem.ram\[37\]\[28\],10.2µm
u_core.u_dmem.ram\[5\]\[25\],10.2µm
net1374,10.2µm
net2909,10.2µm
net2979,10.2µm
net4113,10.2µm
u_core.u_dmem.ram\[20\]\[20\],10.19µm
_01567_,10.18µm
_04109_,10.18µm
_06242_,10.18µm
_06440_,10.18µm
net3321,10.18µm
net3580,10.18µm
net3911,10.18µm
net4274,10.18µm
net4703,10.18µm
net4855,10.18µm
net4874,10.18µm
net5017,10.18µm
net5103,10.18µm
net5159,10.18µm
net5348,10.18µm
u_core.u_dmem.ram\[25\]\[18\],10.17µm
_00695_,10.165µm
_02562_,10.165µm
_03266_,10.16µm
_03704_,10.16µm
_04171_,10.16µm
_04625_,10.16µm
_04664_,10.16µm
_05144_,10.16µm
_05385_,10.16µm
_09060_,10.16µm
_09094_,10.16µm
u_core.u_dmem.ram\[11\]\[10\],10.16µm
u_core.u_dmem.ram\[15\]\[11\],10.16µm
u_core.u_dmem.ram\[17\]\[5\],10.16µm
u_core.u_dmem.ram\[26\]\[0\],10.16µm
u_core.u_dmem.ram\[33\]\[5\],10.16µm
u_core.u_dmem.ram\[35\]\[14\],10.16µm
u_core.u_dmem.ram\[39\]\[2\],10.16µm
u_core.u_dmem.ram\[39\]\[8\],10.16µm
u_core.u_dmem.ram\[43\]\[0\],10.16µm
u_core.u_dmem.ram\[54\]\[2\],10.16µm
u_core.u_dmem.ram\[61\]\[5\],10.16µm
u_core.u_dmem.ram\[8\]\[11\],10.16µm
net1098,10.16µm
net2665,10.16µm
net2842,10.16µm
net3475,10.16µm
net3965,10.16µm
net5529,10.16µm
u_core.u_dmem.ram\[17\]\[22\],10.155µm
_01362_,10.145µm
_01563_,10.14µm
_01939_,10.14µm
_08176_,10.14µm
net3412,10.14µm
net4219,10.14µm
net4638,10.14µm
net5053,10.14µm
net5423,10.14µm
_00017_,10.12µm
_04522_,10.12µm
_04700_,10.12µm
_08307_,10.12µm
u_core.u_dmem.ram\[14\]\[2\],10.12µm
u_core.u_dmem.ram\[23\]\[4\],10.12µm
u_core.u_dmem.ram\[27\]\[17\],10.12µm
u_core.u_dmem.ram\[28\]\[11\],10.12µm
u_core.u_dmem.ram\[45\]\[28\],10.12µm
u_core.u_dmem.ram\[48\]\[10\],10.12µm
u_core.u_dmem.ram\[4\]\[12\],10.12µm
u_core.u_dmem.ram\[57\]\[2\],10.12µm
u_core.u_dmem.ram\[59\]\[16\],10.12µm
u_core.u_dmem.ram\[8\]\[2\],10.12µm
net2640,10.12µm
net2810,10.12µm
net2925,10.12µm
net3349,10.12µm
net3380,10.12µm
net3763,10.12µm
net4096,10.12µm
net4742,10.12µm
net5542,10.12µm
_01730_,10.105µm
_02676_,10.105µm
net3063,10.1µm
net3885,10.1µm
net4019,10.1µm
net4465,10.1µm
net4485,10.1µm
net5177,10.1µm
u_core.u_dmem.ram\[25\]\[3\],10.09µm
ui_in[0],10.09µm
ui_in[4],10.09µm
_04406_,10.08µm
_04553_,10.08µm
u_core.u_dmem.ram\[50\]\[1\],10.08µm
u_core.u_regfile.regs\[6\]\[17\],10.08µm
net3617,10.08µm
net3629,10.08µm
net4225,10.08µm
net4719,10.08µm
_06997_,10.075µm
_00276_,10.065µm
_02089_,10.065µm
_04669_,10.06µm
net2623,10.06µm
net2625,10.06µm
net2739,10.06µm
net3245,10.06µm
net3355,10.06µm
net3785,10.06µm
net4731,10.06µm
net4872,10.06µm
net5079,10.06µm
_04473_,10.04µm
_05336_,10.04µm
_07772_,10.04µm
u_core.u_dmem.ram\[11\]\[24\],10.04µm
u_core.u_dmem.ram\[15\]\[5\],10.04µm
u_core.u_dmem.ram\[39\]\[12\],10.04µm
u_core.u_dmem.ram\[49\]\[10\],10.04µm
u_core.u_dmem.ram\[53\]\[28\],10.04µm
u_core.u_dmem.ram\[6\]\[21\],10.04µm
net3526,10.04µm
net4028,10.04µm
_05173_,10.035µm
_00352_,10.02µm
_06162_,10.02µm
_08666_,10.02µm
_00116_,10.005µm
_02220_,10.005µm
_02242_,10.005µm
u_core.u_dmem.ram\[58\]\[22\],10.005µm
_04546_,10µm
_05126_,10µm
_07014_,10µm
_07356_,10µm
_07698_,10µm
_08518_,10µm
u_core.u_dmem.ram\[32\]\[28\],10µm
u_core.u_dmem.ram\[50\]\[14\],10µm
u_core.u_dmem.ram\[52\]\[0\],10µm
net2569,10µm
net2858,10µm
net3864,10µm
net5199,10µm
_00326_,9.995µm
_02246_,9.985µm
_02937_,9.985µm
_03402_,9.98µm
_04125_,9.98µm
_05516_,9.98µm
_06559_,9.98µm
_06844_,9.98µm
_07216_,9.98µm
_07621_,9.98µm
_08392_,9.98µm
_08631_,9.98µm
u_core.u_dmem.ram\[34\]\[4\],9.98µm
u_core.u_dmem.ram\[62\]\[23\],9.98µm
net2834,9.98µm
net4365,9.98µm
net5255,9.98µm
_04486_,9.96µm
_05096_,9.96µm
_05297_,9.96µm
_08475_,9.96µm
net2917,9.96µm
net4021,9.96µm
net5561,9.96µm
_07030_,9.95µm
_01663_,9.945µm
_02708_,9.945µm
_03505_,9.94µm
_04717_,9.94µm
_05283_,9.94µm
_06468_,9.94µm
_07573_,9.94µm
u_core.u_dmem.ram\[26\]\[23\],9.94µm
