Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_232_461,VPWR,li1,218.2700,644.6400,1.799992
FILLER_232_458,VPWR,li1,216.8900,644.6400,1.799992
FILLER_232_455,VPWR,li1,215.5100,644.6400,1.799993
FILLER_232_452,VPWR,li1,214.1300,644.6400,1.799993
FILLER_232_449,VPWR,li1,212.7500,644.6400,1.799993
FILLER_232_447,VPWR,li1,211.3700,644.6400,1.799993
FILLER_232_444,VPWR,li1,210.4500,644.6400,1.799993
FILLER_232_441,VPWR,li1,209.0700,644.6400,1.799993
FILLER_232_432,VPWR,li1,204.4700,644.6400,1.799994
FILLER_232_429,VPWR,li1,203.5500,644.6400,1.799994
FILLER_232_417,VPWR,li1,198.0300,644.6400,1.799995
FILLER_232_414,VPWR,li1,196.6500,644.6400,1.799995
FILLER_232_411,VPWR,li1,195.2700,644.6400,1.799995
FILLER_232_408,VPWR,li1,193.8900,644.6400,1.799995
FILLER_232_405,VPWR,li1,192.5100,644.6400,1.799995
FILLER_232_402,VPWR,li1,191.1300,644.6400,1.799995
FILLER_232_399,VPWR,li1,189.7500,644.6400,1.799995
FILLER_232_396,VPWR,li1,188.3700,644.6400,1.799995
FILLER_232_393,VPWR,li1,186.9900,644.6400,1.799996
FILLER_232_391,VPWR,li1,185.6100,644.6400,1.799996
FILLER_232_388,VPWR,li1,184.6900,644.6400,1.799996
FILLER_232_385,VPWR,li1,183.3100,644.6400,1.799996
FILLER_232_374,VPWR,li1,178.2500,644.6400,1.799997
FILLER_232_371,VPWR,li1,176.8700,644.6400,1.799997
FILLER_232_368,VPWR,li1,175.4900,644.6400,1.799997
FILLER_232_365,VPWR,li1,174.1100,644.6400,1.799996
FILLER_232_361,VPWR,li1,172.2700,644.6400,1.799996
FILLER_232_358,VPWR,li1,170.8900,644.6400,1.799996
FILLER_232_355,VPWR,li1,169.5100,644.6400,1.799995
FILLER_232_352,VPWR,li1,168.1300,644.6400,1.799995
FILLER_232_349,VPWR,li1,166.7500,644.6400,1.799995
FILLER_232_346,VPWR,li1,165.3700,644.6400,1.799995
FILLER_232_337,VPWR,li1,160.7700,644.6400,1.799994
FILLER_232_327,VPWR,li1,156.1700,644.6400,1.799993
FILLER_232_324,VPWR,li1,155.2500,644.6400,1.799993
FILLER_232_321,VPWR,li1,153.8700,644.6400,1.799993
FILLER_232_318,VPWR,li1,152.4900,644.6400,1.799993
FILLER_232_315,VPWR,li1,151.1100,644.6400,1.799993
FILLER_232_312,VPWR,li1,149.7300,644.6400,1.799993
FILLER_232_309,VPWR,li1,148.3500,644.6400,1.799993
FILLER_232_305,VPWR,li1,146.5100,644.6400,1.799993
FILLER_232_302,VPWR,li1,145.1300,644.6400,1.799993
FILLER_232_299,VPWR,li1,143.7500,644.6400,1.799993
FILLER_232_296,VPWR,li1,142.3700,644.6400,1.799993
FILLER_232_293,VPWR,li1,140.9900,644.6400,1.799993
FILLER_232_290,VPWR,li1,139.6100,644.6400,1.799993
FILLER_232_287,VPWR,li1,138.2300,644.6400,1.799992
FILLER_232_284,VPWR,li1,136.8500,644.6400,1.799992
FILLER_232_281,VPWR,li1,135.4700,644.6400,1.799992
FILLER_232_277,VPWR,li1,133.6300,644.6400,1.799992
FILLER_232_274,VPWR,li1,132.2500,644.6400,1.799992
FILLER_232_271,VPWR,li1,130.8700,644.6400,1.799992
FILLER_232_268,VPWR,li1,129.4900,644.6400,1.799992
FILLER_232_265,VPWR,li1,128.1100,644.6400,1.799992
FILLER_232_262,VPWR,li1,126.7300,644.6400,1.799992
FILLER_232_259,VPWR,li1,125.3500,644.6400,1.799992
FILLER_232_256,VPWR,li1,123.9700,644.6400,1.799992
FILLER_232_253,VPWR,li1,122.5900,644.6400,1.799992
FILLER_232_249,VPWR,li1,120.7500,644.6400,1.799992
FILLER_232_246,VPWR,li1,119.3700,644.6400,1.799992
FILLER_232_243,VPWR,li1,117.9900,644.6400,1.799992
FILLER_232_240,VPWR,li1,116.6100,644.6400,1.799992
FILLER_232_237,VPWR,li1,115.2300,644.6400,1.799992
FILLER_232_234,VPWR,li1,113.8500,644.6400,1.799992
FILLER_232_231,VPWR,li1,112.4700,644.6400,1.799991
FILLER_232_228,VPWR,li1,111.0900,644.6400,1.799991
FILLER_232_225,VPWR,li1,109.7100,644.6400,1.799991
FILLER_232_222,VPWR,li1,108.1000,644.6400,1.799991
FILLER_232_212,VPWR,li1,103.5000,644.6400,1.799991
FILLER_232_209,VPWR,li1,102.3500,644.6400,1.799992
FILLER_232_206,VPWR,li1,100.9700,644.6400,1.799992
FILLER_232_203,VPWR,li1,99.5900,644.6400,1.799992
FILLER_232_200,VPWR,li1,98.2100,644.6400,1.799992
FILLER_232_197,VPWR,li1,96.8300,644.6400,1.799992
FILLER_232_193,VPWR,li1,94.9900,644.6400,1.799992
